Question,Correct_Answer,Incorrect_Answer_1,Incorrect_Answer_2,Incorrect_Answer_3
What national park have we visited together?,Acadia,Great Smokey Mountains,Shenandoah,Everglades
"From when we met to our wedding day, how many hours have we spent together? (Talking, video chat, in person)",2381,2163,2465,2683
How many times have Danny been on a Disney cruise?,5,3,4,7
What states have Elaina not been to?,Hawaii and Oregon,Wyoming and Texas,Florida and New Mexico,Michigan and Utah
Where will our honeymoon be?,Costa Rica,Hawaii,St. Lucia,Japan
What did we eat on our first date?,Pho,Sushi,Pasta,Tacos
What is our favorite season?,Fall,Summer,Spring,Winter
How inches apart are we in height?,7 inches,5 inches,6 inches,8 inches
What is our favorite activity to do together?,Walking in parks,Painting,Theme Parks,Puzzles
Where did Danny propose?,High Line,Central Park,Dumbo,Her house
What did Danny want to be when he was little?,Teacher,Pilot,Dolphin Trainer,Engineer
What did Elaina want to be when she was little?,Dolphin Trainer,Teacher,Nurse,Chef
What was the first movie we watched together?,Inside Out 2,Wicked,Moana 2,Hercules
What was the first Broadway show we watch together?,Aladdin,Hamilton,Lion King,Harry Potter
How many hikes have we done together?,9,10,6,7
How many wedding venues did we visit?,7,4,9,12
How many weddings have we been to?,5,3,4,6
The first handwritten item that Danny wrote to Elaina was?,Postcard,Letter,Birthday Card,Vows
The first handwritten item that Elaina wrote to Danny was?,Birthday Card,Postcard,Get Well Card,Letter
Where will we be living?,Staten Island,Jersey City,Manhattan,Brooklyn
Which of these is the highest on our bucket list?,Northern Lights,Southeast Asia,Swiss Alps,Maldives
What is the name of the song for our first dance?,Anyone,Cinderella,Perfect,"10,000 Hours"
How many people are attending the wedding today?,181,152,176,192
How many Ikea items did we build?,9,0,4,7
What is the date we first started dating?,March 2nd 2024,December 16th 2023,February 14th 2024,February 3rd 2024
